node_id,name,x,y,concourse,type,connections,icon,image_url,floor
"Node_Gate_D8A","Gate D8A",648,168,"D","gate","Node_Concourse_D_East:80","","",""
"Node_Gate_E1","Gate E1",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E1A","Gate E1A",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E2","Gate E2",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E3","Gate E3",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E4","Gate E4",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E5","Gate E5",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E6","Gate E6",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E7","Gate E7",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E8","Gate E8",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E9","Gate E9",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_E10","Gate E10",766,153,"E","gate","Node_Concourse_E:100","","",""
"Node_Gate_F1","Gate F1",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F1A","Gate F1A",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F2","Gate F2",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F3","Gate F3",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F4","Gate F4",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F5","Gate F5",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F6","Gate F6",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F7","Gate F7",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F8","Gate F8",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F9","Gate F9",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_F10","Gate F10",845,227,"F","gate","Node_Concourse_F:70","","",""
"Node_Gate_G1","Gate G1",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G1A","Gate G1A",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G2","Gate G2",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G3","Gate G3",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G4","Gate G4",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G5","Gate G5",455,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G6","Gate G6",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G7","Gate G7",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G28","Gate G8",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G9","Gate G9",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Gate_G10","Gate G10",767,357,"G","gate","Node_Concourse_G:100","","",""
"Node_Vat refund_East","Vat refund East",266,215,"D","vat_refund","","vat_refund","prod-1784991244037-601599188.png","FL.4"
"Node_Vat refund_West","Vat refund West",715,215,"D","vat_refund","","vat_refund","prod-1784991307444-419145824.png","FL.4"
"Node_DW","RESTROOM",737,215,"D","restroom","","wc","prod-1784991598043-154622655.svg","FL.4"
"Node_F","mc donald",814,217,"F","restaurant","","restaurant","","FL.4"
"Node_Lounge_D1","Coral lounge",335,192,"D","lounge","","lounge","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTUuSpHeEnPzLrt46cnmHAUw4u8UGdPulYAtPAi6f1DQ&s=10","FL.3"
"Node_Pharmacy_West","Boots",759,236,"G","Pharmacy","","Pharmacy","prod-1785215620942-150647464.png","FL.4"
"Node_Pharmacy_East","Boots",220,196,"C","Pharmacy","","Pharmacy","prod-1785215607157-890179536.png","FL.4"
"Node_Smoking room_West","Smoking Room",733,230,"D","smoking-area","","smoking-area","","FL.4"
"Node_Smoking room_east","Smoking Room",190,230,"B","smoking-area","","smoking-area","","FL.4"
"Node_Prayer room_west","Prayer room",737,142,"E","prayer-room","","prayer-room","","FL.3"
"Node_information_east","information",224,230,"C","information","","information","","FL.4"
"Node_information_west","information",758,218,"D","information","","information","","FL.4"
"Node_Exchage rate_east","Exchage rate",214,214,"C","exchange-rate","","exchange-rate","prod-1785215575104-561699331.png","FL.4"
"Node_exchage rate_west","exchange rate",774,230,"E","exchange-rate","","exchange-rate","prod-1785215590365-252677204.png","FL.4"
